NAME                                VERSION                            TYPE   
@colors/colors                      1.5.0                              npm     
@isaacs/cliui                       8.0.2                              npm     
@isaacs/string-locale-compare       1.1.0                              npm     
@npmcli/agent                       2.2.0                              npm     
@npmcli/arborist                    7.2.1                              npm     
@npmcli/config                      8.0.1                              npm     
@npmcli/disparity-colors            3.0.0                              npm     
@npmcli/fs                          3.1.0                              npm     
@npmcli/git                         5.0.3                              npm     
@npmcli/installed-package-contents  2.0.2                              npm     
@npmcli/map-workspaces              3.0.4                              npm     
@npmcli/metavuln-calculator         7.0.0                              npm     
@npmcli/name-from-folder            2.0.0                              npm     
@npmcli/node-gyp                    3.0.0                              npm     
@npmcli/package-json                5.0.0                              npm     
@npmcli/promise-spawn               7.0.0                              npm     
@npmcli/query                       3.0.1                              npm     
@npmcli/run-script                  7.0.2                              npm     
@pkgjs/parseargs                    0.11.0                             npm     
@sigstore/bundle                    2.1.0                              npm     
@sigstore/protobuf-specs            0.2.1                              npm     
@sigstore/sign                      2.1.0                              npm     
@sigstore/tuf                       2.1.0                              npm     
@tufjs/canonical-json               2.0.0                              npm     
@tufjs/models                       2.0.0                              npm     
abbrev                              2.0.0                              npm     
abort-controller                    3.0.0                              npm     
adduser                             3.129ubuntu1                       deb     
agent-base                          7.1.0                              npm     
aggregate-error                     3.1.0                              npm     
ansi-regex                          5.0.1                              npm     
ansi-regex                          6.0.1                              npm     
ansi-styles                         4.3.0                              npm     
ansi-styles                         6.2.1                              npm     
aproba                              2.0.0                              npm     
apt                                 2.6.0ubuntu0.1                     deb     
apt-utils                           2.6.0ubuntu0.1                     deb     
archy                               1.0.0                              npm     
are-we-there-yet                    4.0.1                              npm     
balanced-match                      1.0.2                              npm     
base-files                          12.3ubuntu2                        deb     
base-passwd                         3.6.1                              deb     
base64-js                           1.5.1                              npm     
bash                                5.2.15                             binary  
bash                                5.2.15-2ubuntu1                    deb     
bin-links                           4.0.3                              npm     
binary-extensions                   2.2.0                              npm     
brace-expansion                     2.0.1                              npm     
bsdutils                            1:2.38.1-4ubuntu1                  deb     
buffer                              6.0.3                              npm     
builtins                            5.0.1                              npm     
ca-certificates                     20230311ubuntu0.23.04.1            deb     
cacache                             18.0.0                             npm     
chalk                               5.3.0                              npm     
chownr                              2.0.0                              npm     
ci-info                             3.9.0                              npm     
cidr-regex                          3.1.1                              npm     
clean-stack                         2.2.0                              npm     
cli-columns                         4.0.0                              npm     
cli-table3                          0.6.3                              npm     
clone                               1.0.4                              npm     
cmd-shim                            6.0.2                              npm     
color-convert                       2.0.1                              npm     
color-name                          1.1.4                              npm     
color-support                       1.1.3                              npm     
columnify                           1.6.0                              npm     
common-ancestor-path                1.0.1                              npm     
console-control-strings             1.1.0                              npm     
corepack                            0.22.0                             npm     
coreutils                           9.1-1ubuntu2                       deb     
cross-spawn                         7.0.3                              npm     
cssesc                              3.0.0                              npm     
curl                                7.88.1-8ubuntu2.3                  deb     
dash                                0.5.12-2ubuntu1                    deb     
debconf                             1.5.82                             deb     
debianutils                         5.7-0.4                            deb     
debug                               4.3.4                              npm     
defaults                            1.0.4                              npm     
delegates                           1.0.0                              npm     
diff                                5.1.0                              npm     
diffutils                           1:3.8-4                            deb     
dirmngr                             2.2.40-1.1ubuntu1                  deb     
dpkg                                1.21.21ubuntu1                     deb     
e2fsprogs                           1.47.0-1ubuntu1                    deb     
eastasianwidth                      0.2.0                              npm     
emoji-regex                         8.0.0                              npm     
emoji-regex                         9.2.2                              npm     
encoding                            0.1.13                             npm     
env-paths                           2.2.1                              npm     
err-code                            2.0.3                              npm     
event-target-shim                   5.0.1                              npm     
events                              3.3.0                              npm     
exponential-backoff                 3.1.1                              npm     
fastest-levenshtein                 1.0.16                             npm     
findutils                           4.9.0-3ubuntu1                     deb     
fontconfig                          2.14.1-3ubuntu3                    deb     
fontconfig-config                   2.14.1-3ubuntu3                    deb     
fonts-dejavu-core                   2.37-6                             deb     
foreground-child                    3.1.1                              npm     
fs-minipass                         2.1.0                              npm     
fs-minipass                         3.0.3                              npm     
function-bind                       1.1.1                              npm     
gauge                               5.0.1                              npm     
gcc-13-base                         13.1.0-2ubuntu2~23.04              deb     
glob                                10.3.10                            npm     
gnupg                               2.2.40-1.1ubuntu1                  deb     
gnupg-l10n                          2.2.40-1.1ubuntu1                  deb     
gnupg-utils                         2.2.40-1.1ubuntu1                  deb     
gpg                                 2.2.40-1.1ubuntu1                  deb     
gpg-agent                           2.2.40-1.1ubuntu1                  deb     
gpg-wks-client                      2.2.40-1.1ubuntu1                  deb     
gpg-wks-server                      2.2.40-1.1ubuntu1                  deb     
gpgconf                             2.2.40-1.1ubuntu1                  deb     
gpgsm                               2.2.40-1.1ubuntu1                  deb     
gpgv                                2.2.40-1.1ubuntu1                  deb     
graceful-fs                         4.2.11                             npm     
grep                                3.8-5                              deb     
gzip                                1.12-1ubuntu1                      deb     
has                                 1.0.3                              npm     
has-unicode                         2.0.1                              npm     
hosted-git-info                     7.0.1                              npm     
hostname                            3.23+nmu1ubuntu1                   deb     
http-cache-semantics                4.1.1                              npm     
http-proxy-agent                    7.0.0                              npm     
https-proxy-agent                   7.0.2                              npm     
iconv-lite                          0.6.3                              npm     
ieee754                             1.2.1                              npm     
ignore-walk                         6.0.3                              npm     
imurmurhash                         0.1.4                              npm     
indent-string                       4.0.0                              npm     
ini                                 4.1.1                              npm     
init-package-json                   6.0.0                              npm     
init-system-helpers                 1.65.2                             deb     
intel-media-va-driver-non-free      23.1.2+ds1-1                       deb     
ip                                  2.0.0                              npm     
ip-regex                            4.3.0                              npm     
iproute2                            6.1.0-1ubuntu2                     deb     
is-cidr                             4.0.2                              npm     
is-core-module                      2.13.0                             npm     
is-fullwidth-code-point             3.0.0                              npm     
is-lambda                           1.0.1                              npm     
isexe                               2.0.0                              npm     
isexe                               3.1.1                              npm     
jackspeak                           2.3.6                              npm     
jellyfin-ffmpeg6                    6.0-4-bookworm                     deb     
jq                                  1.6-2.1ubuntu3                     deb     
json-parse-even-better-errors       3.0.0                              npm     
json-stringify-nice                 1.1.4                              npm     
jsonparse                           1.3.1                              npm     
just-diff                           6.0.2                              npm     
just-diff-apply                     5.5.0                              npm     
krb5-locales                        1.20.1-1ubuntu0.1                  deb     
libaacs0                            0.11.1-2                           deb     
libacl1                             2.3.1-3                            deb     
libaom3                             3.6.0-1                            deb     
libapt-pkg6.0                       2.6.0ubuntu0.1                     deb     
libass9                             1:0.17.0-2                         deb     
libassuan0                          2.5.5-5                            deb     
libattr1                            1:2.5.1-4                          deb     
libaudit-common                     1:3.0.9-1                          deb     
libaudit1                           1:3.0.9-1                          deb     
libbdplus0                          0.2.0-3                            deb     
libblkid1                           2.38.1-4ubuntu1                    deb     
libbluray2                          1:1.3.4-1                          deb     
libbpf1                             1:1.1.0-1                          deb     
libbrotli1                          1.0.9-2build8                      deb     
libbsd0                             0.11.7-4                           deb     
libbz2-1.0                          1.0.8-5build1                      deb     
libc-bin                            2.37-0ubuntu2.1                    deb     
libc6                               2.37-0ubuntu2.1                    deb     
libcairo-gobject2                   1.16.0-7                           deb     
libcairo2                           1.16.0-7                           deb     
libcap-ng0                          0.8.3-1build2                      deb     
libcap2                             1:2.66-3ubuntu2.1                  deb     
libcap2-bin                         1:2.66-3ubuntu2.1                  deb     
libcom-err2                         1.47.0-1ubuntu1                    deb     
libcrypt1                           1:4.4.33-2                         deb     
libcurl4                            7.88.1-8ubuntu2.3                  deb     
libdatrie1                          0.2.13-2                           deb     
libdav1d6                           1.0.0-2                            deb     
libdb5.3                            5.3.28+dfsg2-1                     deb     
libde265-0                          1.0.11-1                           deb     
libdebconfclient0                   0.267ubuntu1                       deb     
libdeflate0                         1.15-1                             deb     
libdrm-amdgpu1                      2.4.114-1                          deb     
libdrm-common                       2.4.114-1                          deb     
libdrm-nouveau2                     2.4.114-1                          deb     
libdrm-radeon1                      2.4.114-1                          deb     
libdrm2                             2.4.114-1                          deb     
libedit2                            3.1-20221030-2                     deb     
libelf1                             0.188-2.1                          deb     
libexif12                           0.6.24-1build1                     deb     
libexpat1                           2.5.0-1                            deb     
libext2fs2                          1.47.0-1ubuntu1                    deb     
libffi8                             3.4.4-1                            deb     
libfontconfig1                      2.14.1-3ubuntu3                    deb     
libfreetype6                        2.12.1+dfsg-4ubuntu0.1             deb     
libfribidi0                         1.0.8-2.1ubuntu1                   deb     
libgcc-s1                           13.1.0-2ubuntu2~23.04              deb     
libgcrypt20                         1.10.1-3ubuntu1                    deb     
libgd3                              2.3.3-7ubuntu2                     deb     
libgdbm-compat4                     1.23-3                             deb     
libgdbm6                            1.23-3                             deb     
libgdk-pixbuf-2.0-0                 2.42.10+dfsg-1build1               deb     
libgdk-pixbuf2.0-bin                2.42.10+dfsg-1build1               deb     
libgdk-pixbuf2.0-common             2.42.10+dfsg-1build1               deb     
libglib2.0-0                        2.76.1-1                           deb     
libglib2.0-data                     2.76.1-1                           deb     
libgmp10                            2:6.2.1+dfsg1-1.1ubuntu1           deb     
libgnutls30                         3.7.8-5ubuntu1                     deb     
libgomp1                            13.1.0-2ubuntu2~23.04              deb     
libgpg-error0                       1.46-1                             deb     
libgraphite2-3                      1.3.14-1build2                     deb     
libgsf-1-114                        1.14.50-1                          deb     
libgsf-1-common                     1.14.50-1                          deb     
libgssapi-krb5-2                    1.20.1-1ubuntu0.1                  deb     
libharfbuzz0b                       6.0.0+dfsg-3build1                 deb     
libheif1                            1.14.2-1ubuntu1                    deb     
libhogweed6                         3.8.1-2                            deb     
libhwy1                             1.0.3-2                            deb     
libicu72                            72.1-3ubuntu2                      deb     
libidn2-0                           2.3.3-1build1                      deb     
libigdgmm12                         22.3.4+ds1-1                       deb     
libimath-3-1-29                     3.1.6-1ubuntu1                     deb     
libjbig0                            2.1-6ubuntu1                       deb     
libjpeg-turbo8                      2.1.5-2ubuntu1                     deb     
libjpeg8                            8c-2ubuntu11                       deb     
libjq1                              1.6-2.1ubuntu3                     deb     
libjxl0.7                           0.7.0-10ubuntu2                    deb     
libk5crypto3                        1.20.1-1ubuntu0.1                  deb     
libkeyutils1                        1.6.3-2                            deb     
libkrb5-3                           1.20.1-1ubuntu0.1                  deb     
libkrb5support0                     1.20.1-1ubuntu0.1                  deb     
libksba8                            1.6.3-2                            deb     
liblcms2-2                          2.14-2                             deb     
libldap-common                      2.6.3+dfsg-1~exp1ubuntu2           deb     
libldap2                            2.6.3+dfsg-1~exp1ubuntu2           deb     
liblerc4                            4.0.0+ds-2ubuntu2                  deb     
libllvm15                           1:15.0.7-3ubuntu0.23.04.1          deb     
liblqr-1-0                          0.4.2-2.1                          deb     
libltdl7                            2.4.7-5                            deb     
liblz4-1                            1.9.4-1                            deb     
liblzma5                            5.4.1-0.2                          deb     
libmaxminddb0                       1.7.1-1                            deb     
libmd0                              1.0.4-2                            deb     
libmimalloc2.0                      2.0.9+ds-2                         deb     
libmnl0                             1.0.4-3ubuntu1                     deb     
libmount1                           2.38.1-4ubuntu1                    deb     
libmp3lame0                         3.100-6                            deb     
libmpg123-0                         1.31.2-1                           deb     
libncursesw6                        6.4-2ubuntu0.1                     deb     
libnettle8                          3.8.1-2                            deb     
libnghttp2-14                       1.52.0-1ubuntu0.1                  deb     
libnginx-mod-http-geoip2            1.22.0-1ubuntu3                    deb     
libnginx-mod-http-image-filter      1.22.0-1ubuntu3                    deb     
libnginx-mod-http-xslt-filter       1.22.0-1ubuntu3                    deb     
libnginx-mod-mail                   1.22.0-1ubuntu3                    deb     
libnginx-mod-stream                 1.22.0-1ubuntu3                    deb     
libnginx-mod-stream-geoip2          1.22.0-1ubuntu3                    deb     
libnpmaccess                        8.0.1                              npm     
libnpmdiff                          6.0.3                              npm     
libnpmexec                          7.0.3                              npm     
libnpmfund                          5.0.1                              npm     
libnpmhook                          10.0.0                             npm     
libnpmorg                           6.0.1                              npm     
